imagen_idx,paso_mean_px,paso_std_px,error_total_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,68.52941176470588,0.7759356446042893,0.7764661395247703,2.0,2869.740861168588,32.53753233875378,116.08190987124463,1.4670825110238586,18
4,72.05882352941177,1.1098801331831298,1.1102902611476724,2.0,3017.538673760961,46.5117352458866,110.39626530612246,1.8098232145213178,18
7,68.47058823529412,0.6960093862470137,0.6965997371568654,2.0,2867.2775642920483,29.195543893739504,116.18163659793817,1.3491775132466375,18
10,64.94736842105263,0.6862318321265946,0.6867705770282496,2.0,2719.7390461077316,28.781779716773514,122.48417747163695,1.4655400846216544,20
13,61.8421052631579,0.5860804592452655,0.5866523338574646,2.0,2589.702900467248,24.590605173499032,128.63444680851066,1.4169610569095303,20
16,54.21739130434783,0.6565073421974567,0.6568998146792011,2.0,2270.410021120093,27.52479283139196,146.72459903769044,1.9583627875931284,24
19,59.0,0.6900655593423543,0.6905077157430051,2.0,2470.686767169179,28.93423740353722,134.83093220338984,1.749281967026141,22
22,59.095238095238095,0.6098213559459855,0.6103232649871795,2.0,2474.674962112148,25.578926365766694,134.61363819500403,1.581425229755127,22
25,62.0,0.7947194142390263,0.7951434037194204,2.0,2596.3149078726965,33.31520800833076,128.30685483870968,1.7955047720531057,20
28,68.3529411764706,0.6809315825170721,0.6815329231791071,2.0,2862.3509705389692,28.565064226318665,116.38160499139416,1.3308589663597117,18
